CANTON_INVALIDO
"San José, 108 Goicoechea"
"San José, 110 Alajuelita"
"San José, 114 Moravia"
"San José, 115 Montes de Oca"
"San José, 119 Pérez Zeledón"
"San José, 214 Los Chiles"
"Vásquez de Coronado, 301 Cartago"
